family,num_languages,total_words,languages
Dravidian,10,4661335063,"['Adilabad Gondi', 'Brahui', 'Far Western Muria', 'Kannada', 'Koya', 'Kurukh', 'Malayalam', 'Tamil', 'Telugu', 'Tulu']"
Kartvelian,2,1440795739,"['Georgian', 'Mingrelian']"
Niger-Congo,376,1414363205,"['Abidji', 'Abua', 'Abé', 'Adamawa Fulfulde', 'Adangme', 'Adele', 'Adioukrou', 'Ahanta', 'Aja (Benin)', 'Akoose', 'Anufo', 'Anyin', 'Attié', 'Avatime', 'Baatonum', 'Babanki', 'Bafia', 'Bafut', 'Baga Sitemu', 'Bambara', 'Bandial', 'Baoulé', 'Basa (Cameroon)', 'Bassa', 'Bassari', 'Beembe', 'Bekwarra', 'Bemba (Zambia)', 'Berom', 'Bete-Bendi', 'Bimoba', 'Bini', 'Bissa', 'Boko (Benin)', 'Bokobaru', 'Bomu', 'Borgu Fulfulde', 'Buamu', 'Buli (Ghana)', 'Bulu (Cameroon)', 'Bum', 'Busa', 'Cameroon Mambila', 'Central-Eastern Niger Fulfulde', 'Cerma', 'Chiga', 'Chokwe', 'Chopi', 'Chumburung', 'Chuwabu', 'Cishingini', 'Congo Swahili', 'Dagbani', 'Dan', 'Deg', 'Delo', 'Denya', 'Digo', 'Dii', 'Diriku', 'Ditammari', 'Djimini Senoufo', 'Dogosé', 'Doyayo', 'Duala', 'Duruma', 'Dyula', 'Eastern Karaboro', 'Eastern Krahn', 'Efik', 'Ejagham', 'Ekajuk', 'Esan', 'Eton (Cameroon)', 'Ewe', 'Ewondo', 'Ezaa', 'Fang (Equatorial Guinea)', 'Farefare', 'Fon', 'Ga', 'Ganda', 'Gbagyi', 'Gen', ""Ghomálá'"", 'Gikyode', 'Giryama', 'Gitonga', 'Gogo', 'Gokana', 'Gonja', 'Gourmanchéma', 'Gun', 'Gungu', 'Guro', 'Gusii', 'Gwere', 'Hanga', 'Havu', 'Haya', 'Hehe', 'Herero', 'Idoma', 'Ifè', 'Igbo', 'Igede', 'Ika', 'Ikwere', 'Ikwo', 'Ila', 'Isoko', 'Ivbie North-Okpela-Arhe', 'Izere', 'Izii', 'Jola-Fonyi', 'Jola-Kasa', 'Jukun Takum', 'Kaansa', 'Kabiyè', 'Kagulu', 'Kako', 'Kalanga', 'Kamba (Kenya)', 'Kanyok', 'Kaonde', 'Karon', 'Kasem', 'Kenyang', 'Khana', 'Kikuyu', 'Kim', 'Kimbundu', 'Kinyarwanda', 'Koma', 'Konkomba', 'Kono (Sierra Leone)', 'Konzo', 'Koongo', 'Koonzime', 'Koti', 'Kouya', 'Kpelle', 'Kuanyama', 'Kukele', 'Kuo', 'Kuranko', 'Kuria', 'Kusaal', 'Kutep', 'Kutu', 'Kuwaa', 'Kuwaataay', 'Kwangali', 'Kwere', 'Laari', 'Lamba', 'Lambya', 'Lega-Mwenga', 'Lelemi', 'Lenje', 'Limbum', 'Lingala', 'Lobala', 'Lobi', 'Lokaa', 'Loko', 'Lolo', 'Loma (Liberia)', 'Lomwe', 'Lozi', 'Luba-Katanga', 'Luba-Lulua', 'Luguru', 'Lukpa', 'Lunda', 'Luvale', 'Lyélé', 'Maasina Fulfulde', 'Machame', 'Mada (Nigeria)', 'Makaa', 'Makhuwa', 'Makhuwa-Meetto', 'Makhuwa-Shirima', 'Makonde', 'Malawi Sena', 'Malba Birifor', 'Mamara Senoufo', 'Mambwe-Lungu', 'Mampruli', 'Mandinka', 'Mankanya', 'Mano', 'Manyawa', 'Maore Comorian', 'Masaaba', 'Mbukushu', 'Mbunda', 'Medumba', 'Mende (Sierra Leone)', 'Meru', ""Meta'"", 'Miyobe', 'Moba', 'Mochi', 'Mogofin', 'Mokole', 'Mongo', 'Moro', 'Mossi', 'Mumuye', 'Mundang', 'Mundani', 'Mwan', 'Mwani', 'Ménik', 'Mündü', 'Nafaanra', 'Nande', 'Nawdm', 'Nawuri', 'Ndali', 'Ndamba', 'Ndau', 'Ndogo', 'Ndonga', 'Ngando (Democratic Republic of Congo)', 'Ngangam', 'Ngazidja Comorian', 'Ngiemboon', 'Ngindo', 'Ngombe (Democratic Republic of Congo)', 'Ngulu', 'Nigeria Mambila', 'Nigerian Fulfulde', 'Nilamba', 'Ninzo', 'Nkonya', 'Nomaande', 'Noon', 'Noone', 'North Ndebele', 'Northern Bobo Madaré', 'Northern Dagara', 'Northern Grebo', 'Northern Kissi', 'Northern Ngbandi', 'Northwest Gbaya', 'Nsenga', 'Ntcham', 'Nyabwa', 'Nyakyusa-Ngonde', 'Nyamwanga', 'Nyaneka', 'Nyanja', 'Nyankole', 'Nyaturu', 'Nyemba', 'Nyole', 'Nyoro', 'Nyungwe', 'Nzima', 'Obolo', 'Okpe (Southwestern Edo)', 'Oku', 'Paasaal', 'Pedi', 'Pere', 'Phende', 'Phimbi', 'Pinyin', 'Plapo Krumen', 'Pogolo', 'Pokomo', 'Pular', 'Rigwe', 'Ronga', 'Rundi', 'Ruund', 'Saamia', 'Samba Leko', 'San Salvador Kongo', 'Sankaran Maninka', 'Sehwi', 'Sekpele', 'Selee', 'Sena', 'Serer', 'Shambala', 'Shona', 'Sissala', 'Siwu', 'Soga', 'Soli', 'Songe', 'Songomeno', 'South Fali', 'South Ndebele', 'Southern Birifor', 'Southern Bobo Madaré', 'Southern Dagaare', 'Southern Kisi', 'Southern Nuni', 'Southern Samo', 'Southern Sotho', 'Southern Toussian', 'Southwest Gbaya', 'Suba', 'Subiya', 'Sukuma', 'Supyire Senoufo', 'Susu', 'Swahili (individual language)', 'Swati', 'Taabwa', 'Takwane', 'Talinga-Bwisi', 'Tampulma', 'Tem', 'Tepo Krumen', 'Tetela', 'Tewe', 'Tharaka', 'Tigon Mbembe', 'Tikar', 'Timne', 'Tiv', 'Toma', 'Tonga (Nyasa)', 'Tonga (Zambia)', 'Tooro', 'Toro So Dogon', ""Toura (Côte d'Ivoire)"", 'Tsikimba', 'Tsishingini', 'Tsonga', 'Tswa', 'Tswana', 'Tula', 'Tumbuka', 'Tumulung Sisaala', 'Tupuri', 'Tuwuli', 'Tyap', 'Umbundu', 'Urhobo', 'Vagla', 'Venda', 'Vengo', 'Vidunda', 'Vunjo', 'Vute', 'Waama', 'Wali (Ghana)', 'Wamey', 'Wanga', 'West-Central Limba', 'Western Niger Fulfulde', 'Wolof', 'Wè Northern', 'Xaasongaxango', 'Xhosa', 'Yalunka', 'Yamba', 'Yambeta', 'Yao', 'Yaouré', 'Yemba', 'Yocoboué Dida', 'Yombe', 'Yoruba', 'Zande (individual language)', 'Zemba', 'Zigula', 'Zulu', 'ut-Hun']"
Mongolic,3,831698959,"['Halh Mongolian', 'Kalmyk', 'Russia Buriat']"
Language isolate,15,714677099,"['Abun', 'Ainu (Japan)', 'Basque', 'Camsá', 'Candoshi-Shapra', 'Chiquitano', 'Cofán', 'Kuot', 'Rikbaktsa', 'Sulka', 'Ticuna', 'Urarina', 'Waorani', 'Warao', 'Yuracare']"
Creole,34,623927113,"['Ambonese Malay', 'Baba Malay', 'Belize Kriol English', 'Betawi', 'Bislama', 'Cameroon Pidgin', 'Chavacano', 'Eastern Maroon Creole', 'Guadeloupean Creole French', 'Guianese Creole French', 'Haitian', ""Hawai'i Creole English"", 'Islander Creole English', 'Jamaican Creole English', 'Kabuverdianu', 'Kituba (Democratic Republic of Congo)', 'Krio', 'Kriol', 'Kupang Malay', 'Manado Malay', 'Morisyen', 'Nigerian Pidgin', 'Papiamento', 'Pijin', 'Réunion Creole French', 'Saint Lucian Creole French', 'Sango', 'Saramaccan', 'Sea Island Creole English', 'Seselwa Creole French', 'Sranan Tongo', 'Tok Pisin', 'Torres Strait Creole', 'Upper Guinea Crioulo']"
Constructed language,1,239172962,['Esperanto']
Hmong-Mien,3,133009709,"['Hmong Daw', 'Hmong Njua', 'Iu Mien']"
Trans-New Guinea,133,42064292,"['Abui', 'Agarabi', 'Alekano', 'Amele', 'Aneme Wake', 'Angaataha', 'Angal Heneng', 'Angguruk Yali', 'Anjam', 'Ankave', 'Awa (Papua New Guinea)', 'Awara', 'Awiyaana', 'Barai', 'Bargam', 'Baruya', 'Benabena', 'Biangai', 'Bimin', 'Binandere', 'Binumarien', 'Bo-Ung', 'Borong', 'Chuave', 'Dadibi', 'Daga', 'Dano', 'Dedua', 'Doromu-Koki', 'East Kewa', 'Edolo', 'Enga', 'Ese', 'Ewage-Notu', 'Faiwol', 'Fasu', 'Fataluku', 'Folopa', 'Fore', 'Girawa', 'Golin', 'Guhu-Samane', 'Gwahatike', 'Huli', 'Imbongu', 'Inoke-Yate', 'Ipili', 'Iyo', 'Kalam', 'Kaluli', 'Kamano', 'Kamula', 'Kanasi', 'Kandawo', 'Kanite', 'Kasua', 'Kein', 'Keyagana', 'Kobon', 'Komba', 'Konai', 'Korafe-Yegha', 'Korupun-Sela', 'Kosarek Yale', 'Kosena', 'Kube', 'Kuman (Papua New Guinea)', 'Kuni-Boazi', 'Kunimaipa', 'Kyaka', 'Kâte', 'Maiwa (Papua New Guinea)', 'Makasae', 'Mape', 'Mauwake', 'Melpa', 'Mian', 'Migabac', 'Mountain Koiali', 'Nabak', 'Namiae', 'Nek', 'Nggem', 'Nii', 'Nobonob', 'North Tairora', 'North Wahgi', 'Nukna', 'Numanggang', 'Odoodee', 'Ogea', 'Oksapmin', 'Ono', 'Orokaiva', 'Rawa', 'Safeyoka', 'Salt-Yui', 'Samberigi', 'Selepet', 'Siane', 'Siroi', 'Somba-Siawari', 'Sop', 'South Tairora', 'Suena', 'Tai', 'Telefol', 'Tifal', 'Timbe', 'Toaripi', 'Tuma-Irumu', 'Uare', 'Umanakaina', 'Umbu-Ungu', 'Una', 'Uri', 'Usan', 'Usarufa', 'Waffa', 'Wagi', 'Wantoat', 'Waskia', 'Weri', 'West Kewa', 'Western Dani', 'Wiru', 'Yareba', 'Yau (Morobe Province)', 'Yaweyuha', 'Yongkom', 'Yopno', 'Zia', 'Ömie']"
Nakh-Daghestanian,9,30473841,"['Aghul', 'Avaric', 'Chechen', 'Dargwa', 'Ingush', 'Lak', 'Lezghian', 'Tabassaran', 'Tsakhur']"
